Date/Time,MAIN ZONE:RUN PERIOD 1:FLOOR ILLUMINANCE MAP at 0.30m Illuminance [lux] (Hourly), RefPt1=(0.70:3.24:0.30),,
 01/01 10:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,475,203,27,27,27
(-26.30;-10.45)=,27,228,232,231,27
(-26.30;2.40)=,27,227,234,229,27
(-26.30;15.25)=,27,146,202,217,27
(-26.30;28.11)=,27,27,27,27,27
 01/01 11:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,2469,1062,143,143,143
(-26.30;-10.45)=,143,1191,1212,1206,143
(-26.30;2.40)=,143,1190,1223,1199,143
(-26.30;15.25)=,143,771,1058,1136,143
(-26.30;28.11)=,143,143,143,143,143
 01/01 12:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,4029,1742,235,235,235
(-26.30;-10.45)=,235,1954,1988,1976,235
(-26.30;2.40)=,235,1954,2009,1970,235
(-26.30;15.25)=,235,1276,1742,1867,235
(-26.30;28.11)=,235,235,235,235,235
 01/01 13:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,4379,1888,254,254,254
(-26.30;-10.45)=,254,2117,2155,2140,254
(-26.30;2.40)=,254,2116,2177,2136,254
(-26.30;15.25)=,254,1382,1887,2024,254
(-26.30;28.11)=,254,254,254,254,254
 01/01 14:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,3428,1466,197,197,197
(-26.30;-10.45)=,197,1643,1674,1664,197
(-26.30;2.40)=,197,1643,1691,1659,197
(-26.30;15.25)=,197,1065,1463,1571,197
(-26.30;28.11)=,197,197,197,197,197
 01/01 15:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,1558,661,88,88,88
(-26.30;-10.45)=,88,740,755,751,88
(-26.30;2.40)=,88,739,761,747,88
(-26.30;15.25)=,88,474,656,707,88
(-26.30;28.11)=,88,88,88,88,88
 01/01 16:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,79,33,4,4,4
(-26.30;-10.45)=,4,37,38,38,4
(-26.30;2.40)=,4,37,38,37,4
(-26.30;15.25)=,4,24,33,35,4
(-26.30;28.11)=,4,4,4,4,4
Date/Time,MAIN ZONE:RUN PERIOD 1:FLOOR ILLUMINANCE MAP at 0.30m Illuminance [lux] (Hourly), RefPt1=(0.70:3.24:0.30),,
 01/02 10:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,595,254,34,34,34
(-26.30;-10.45)=,34,284,289,288,34
(-26.30;2.40)=,34,284,292,286,34
(-26.30;15.25)=,34,182,252,271,34
(-26.30;28.11)=,34,34,34,34,34
 01/02 11:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,2469,1062,142,142,142
(-26.30;-10.45)=,142,1191,1212,1206,142
(-26.30;2.40)=,142,1190,1223,1199,142
(-26.30;15.25)=,142,770,1058,1136,142
(-26.30;28.11)=,142,142,142,142,142
 01/02 12:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,4063,1757,237,237,237
(-26.30;-10.45)=,237,1971,2005,1992,237
(-26.30;2.40)=,237,1970,2026,1986,237
(-26.30;15.25)=,237,1287,1756,1882,237
(-26.30;28.11)=,237,237,237,237,237
 01/02 13:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,4530,1955,263,263,263
(-26.30;-10.45)=,263,2192,2231,2216,263
(-26.30;2.40)=,263,2192,2255,2212,263
(-26.30;15.25)=,263,1434,1956,2096,263
(-26.30;28.11)=,263,263,263,263,263
 01/02 14:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,3482,1490,200,200,200
(-26.30;-10.45)=,200,1669,1701,1690,200
(-26.30;2.40)=,200,1668,1717,1685,200
(-26.30;15.25)=,200,1082,1486,1596,200
(-26.30;28.11)=,200,200,200,200,200
 01/02 15:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,1721,731,98,98,98
(-26.30;-10.45)=,98,818,834,830,98
(-26.30;2.40)=,98,817,841,826,98
(-26.30;15.25)=,98,525,726,782,98
(-26.30;28.11)=,98,98,98,98,98
 01/02 16:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,89,38,5,5,5
(-26.30;-10.45)=,5,42,43,43,5
(-26.30;2.40)=,5,42,43,42,5
(-26.30;15.25)=,5,27,37,40,5
(-26.30;28.11)=,5,5,5,5,5
Date/Time,MAIN ZONE:RUN PERIOD 1:FLOOR ILLUMINANCE MAP at 0.30m Illuminance [lux] (Hourly), RefPt1=(0.70:3.24:0.30),,
 01/03 10:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,1407,637,88,88,88
(-26.30;-10.45)=,88,718,729,721,88
(-26.30;2.40)=,88,716,736,723,88
(-26.30;15.25)=,88,483,646,685,88
(-26.30;28.11)=,88,88,88,88,88
 01/03 11:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,6528,3068,440,440,440
(-26.30;-10.45)=,440,3528,3516,3458,440
(-26.30;2.40)=,440,3462,3561,3500,440
(-26.30;15.25)=,440,2459,3185,3373,440
(-26.30;28.11)=,440,440,440,440,440
 01/03 12:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,9746,4813,742,742,742
(-26.30;-10.45)=,742,5840,5519,5396,742
(-26.30;2.40)=,742,5516,5679,5556,742
(-26.30;15.25)=,742,4257,5260,5484,742
(-26.30;28.11)=,742,742,742,742,742
 01/03 13:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,7909,4476,845,845,845
(-26.30;-10.45)=,845,6448,5947,5010,845
(-26.30;2.40)=,845,6030,5602,5479,845
(-26.30;15.25)=,845,4802,5645,5694,845
(-26.30;28.11)=,845,845,845,845,845
 01/03 14:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,6406,3609,672,672,672
(-26.30;-10.45)=,672,5129,5114,4088,672
(-26.30;2.40)=,672,4721,4574,4467,672
(-26.30;15.25)=,672,3560,4485,4606,672
(-26.30;28.11)=,672,672,672,672,672
 01/03 15:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,4278,2112,327,327,327
(-26.30;-10.45)=,327,2515,2577,2412,327
(-26.30;2.40)=,327,2447,2587,2537,327
(-26.30;15.25)=,327,1768,2308,2429,327
(-26.30;28.11)=,327,327,327,327,327
 01/03 16:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,252,118,17,17,17
(-26.30;-10.45)=,17,135,140,135,17
(-26.30;2.40)=,17,135,142,140,17
(-26.30;15.25)=,17,94,125,132,17
(-26.30;28.11)=,17,17,17,17,17
Date/Time,MAIN ZONE:RUN PERIOD 1:FLOOR ILLUMINANCE MAP at 0.30m Illuminance [lux] (Hourly), RefPt1=(0.70:3.24:0.30),,
 01/04 10:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,1333,598,83,83,83
(-26.30;-10.45)=,83,674,687,679,83
(-26.30;2.40)=,83,674,697,683,83
(-26.30;15.25)=,83,453,607,646,83
(-26.30;28.11)=,83,83,83,83,83
 01/04 11:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,4845,2347,348,348,348
(-26.30;-10.45)=,348,2748,2692,2641,348
(-26.30;2.40)=,348,2675,2751,2703,348
(-26.30;15.25)=,348,1950,2474,2618,348
(-26.30;28.11)=,348,348,348,348,348
 01/04 12:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,6390,3509,622,622,622
(-26.30;-10.45)=,622,4676,4083,3914,622
(-26.30;2.40)=,622,4167,4287,4210,622
(-26.30;15.25)=,622,3508,4129,4296,622
(-26.30;28.11)=,622,622,622,622,622
 01/04 13:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,9587,4695,728,728,728
(-26.30;-10.45)=,728,5749,5614,5261,728
(-26.30;2.40)=,728,5594,5564,5451,728
(-26.30;15.25)=,728,4219,5210,5369,728
(-26.30;28.11)=,728,728,728,728,728
