Date/Time,MAIN ZONE:RUN PERIOD 1:FLOOR ILLUMINANCE MAP at 0.30m Illuminance [lux] (Hourly), RefPt1=(-1.56:0.80:0.30),,
 01/01 08:00,(-30.36;-24.68)=,(-15.92;-24.68)=,(-1.47;-24.68)=,(12.97;-24.68)=,(27.41;-24.68)=
(-30.36;-24.68)=,435,435,435,435,435
(-30.36;-12.06)=,435,3222,3289,3324,435
(-30.36;0.56)=,435,3252,3274,3323,435
(-30.36;13.18)=,435,3277,3292,3334,435
(-30.36;25.80)=,435,435,435,435,3091
 01/01 09:00,(-30.36;-24.68)=,(-15.92;-24.68)=,(-1.47;-24.68)=,(12.97;-24.68)=,(27.41;-24.68)=
(-30.36;-24.68)=,2496,2496,2496,2496,2496
(-30.36;-12.06)=,2496,18067,18462,18969,2496
(-30.36;0.56)=,2496,18113,18365,18964,2496
(-30.36;13.18)=,2496,18347,18441,19004,2496
(-30.36;25.80)=,2496,2496,2496,2496,17549
 01/01 10:00,(-30.36;-24.68)=,(-15.92;-24.68)=,(-1.47;-24.68)=,(12.97;-24.68)=,(27.41;-24.68)=
(-30.36;-24.68)=,4852,4852,4852,4852,4852
(-30.36;-12.06)=,4852,35890,36420,37370,4852
(-30.36;0.56)=,4852,35784,36230,37399,4852
(-30.36;13.18)=,4852,36159,36333,37294,4852
(-30.36;25.80)=,4852,4852,4852,4852,34013
 01/01 11:00,(-30.36;-24.68)=,(-15.92;-24.68)=,(-1.47;-24.68)=,(12.97;-24.68)=,(27.41;-24.68)=
(-30.36;-24.68)=,6823,6823,6823,6823,6823
(-30.36;-12.06)=,6823,52197,52852,53453,6823
(-30.36;0.56)=,6823,52183,52573,53423,6823
(-30.36;13.18)=,6823,52472,52734,53390,6823
(-30.36;25.80)=,6823,6823,6823,6823,47674
 01/01 12:00,(-30.36;-24.68)=,(-15.92;-24.68)=,(-1.47;-24.68)=,(12.97;-24.68)=,(27.41;-24.68)=
(-30.36;-24.68)=,8136,8136,8136,8136,8136
(-30.36;-12.06)=,8136,64113,64669,65076,8136
(-30.36;0.56)=,8136,64018,64325,64921,8136
(-30.36;13.18)=,8136,64308,64526,65100,8136
(-30.36;25.80)=,8136,8136,8136,8136,56643
 01/01 13:00,(-30.36;-24.68)=,(-15.92;-24.68)=,(-1.47;-24.68)=,(12.97;-24.68)=,(27.41;-24.68)=
(-30.36;-24.68)=,8781,8781,8781,8781,8781
(-30.36;-12.06)=,8781,70657,71051,71316,8781
(-30.36;0.56)=,8781,70541,70644,71073,8781
(-30.36;13.18)=,8781,70744,70650,71370,8781
(-30.36;25.80)=,8781,8781,8781,8781,60310
