Date/Time,MAIN ZONE:RUN PERIOD 1:FLOOR ILLUMINANCE MAP at 0.30m Illuminance [lux] (Hourly), RefPt1=(-1.68:0.89:0.30),,
 01/01 08:00,(-30.31;-24.76)=,(-15.83;-24.76)=,(-1.35;-24.76)=,(13.13;-24.76)=,(27.61;-24.76)=
(-30.31;-24.76)=,435,435,435,435,435
(-30.31;-12.08)=,435,3227,3282,3325,435
(-30.31;0.60)=,435,3252,3272,3323,435
(-30.31;13.28)=,435,3278,3292,3334,435
(-30.31;25.96)=,435,435,435,435,3039
 01/01 09:00,(-30.31;-24.76)=,(-15.83;-24.76)=,(-1.35;-24.76)=,(13.13;-24.76)=,(27.61;-24.76)=
(-30.31;-24.76)=,2496,2496,2496,2496,2496
(-30.31;-12.08)=,2496,18089,18408,18980,2496
(-30.31;0.60)=,2496,18112,18346,18962,2496
(-30.31;13.28)=,2496,18358,18434,19000,2496
(-30.31;25.96)=,2496,2496,2496,2496,17312
 01/01 10:00,(-30.31;-24.76)=,(-15.83;-24.76)=,(-1.35;-24.76)=,(13.13;-24.76)=,(27.61;-24.76)=
(-30.31;-24.76)=,4851,4851,4851,4851,4851
(-30.31;-12.08)=,4851,35887,36310,37466,4851
(-30.31;0.60)=,4851,35785,36197,37394,4851
(-30.31;13.28)=,4851,36181,36321,37286,4851
(-30.31;25.96)=,4851,4851,4851,4851,33597
 01/01 11:00,(-30.31;-24.76)=,(-15.83;-24.76)=,(-1.35;-24.76)=,(13.13;-24.76)=,(27.61;-24.76)=
(-30.31;-24.76)=,6826,6826,6826,6826,6826
(-30.31;-12.08)=,6826,52203,52723,53547,6826
(-30.31;0.60)=,6826,52190,52547,53415,6826
(-30.31;13.28)=,6826,52496,52725,53384,6826
(-30.31;25.96)=,6826,6826,6826,6826,47066
 01/01 12:00,(-30.31;-24.76)=,(-15.83;-24.76)=,(-1.35;-24.76)=,(13.13;-24.76)=,(27.61;-24.76)=
(-30.31;-24.76)=,8144,8144,8144,8144,8144
(-30.31;-12.08)=,8144,64130,64547,65105,8144
(-30.31;0.60)=,8144,64027,64305,64929,8144
(-30.31;13.28)=,8144,64338,64523,65098,8144
(-30.31;25.96)=,8144,8144,8144,8144,55904
 01/01 13:00,(-30.31;-24.76)=,(-15.83;-24.76)=,(-1.35;-24.76)=,(13.13;-24.76)=,(27.61;-24.76)=
(-30.31;-24.76)=,8796,8796,8796,8796,8796
(-30.31;-12.08)=,8796,70690,70941,71328,8796
(-30.31;0.60)=,8796,70544,70638,71102,8796
(-30.31;13.28)=,8796,70780,70673,71378,8796
(-30.31;25.96)=,8796,8796,8796,8796,59288
 01/01 14:00,(-30.31;-24.76)=,(-15.83;-24.76)=,(-1.35;-24.76)=,(13.13;-24.76)=,(27.61;-24.76)=
(-30.31;-24.76)=,8848,8848,8848,8848,8848
(-30.31;-12.08)=,8848,71113,71162,71513,8848
(-30.31;0.60)=,8848,70980,70918,71266,8848
(-30.31;13.28)=,8848,71077,70834,71552,8848
(-30.31;25.96)=,8848,8848,8848,8848,57613
 01/01 15:00,(-30.31;-24.76)=,(-15.83;-24.76)=,(-1.35;-24.76)=,(13.13;-24.76)=,(27.61;-24.76)=
(-30.31;-24.76)=,8320,8320,8320,8320,8320
(-30.31;-12.08)=,8320,65481,65423,65754,8320
(-30.31;0.60)=,8320,65395,65203,65522,8320
(-30.31;13.28)=,8320,65450,65224,65721,8320
(-30.31;25.96)=,8320,8320,8320,8320,55206
 01/01 16:00,(-30.31;-24.76)=,(-15.83;-24.76)=,(-1.35;-24.76)=,(13.13;-24.76)=,(27.61;-24.76)=
(-30.31;-24.76)=,7130,7130,7130,7130,7130
(-30.31;-12.08)=,7130,54478,54427,54674,7130
(-30.31;0.60)=,7130,54440,54173,54491,7130
(-30.31;13.28)=,7130,54558,54315,54612,7130
(-30.31;25.96)=,7130,7130,7130,7130,47956
 01/01 17:00,(-30.31;-24.76)=,(-15.83;-24.76)=,(-1.35;-24.76)=,(13.13;-24.76)=,(27.61;-24.76)=
(-30.31;-24.76)=,5149,5149,5149,5149,5149
(-30.31;-12.08)=,5149,38134,38071,38195,5149
(-30.31;0.60)=,5149,38098,37856,38068,5149
(-30.31;13.28)=,5149,38207,37982,38144,5149
(-30.31;25.96)=,5149,5149,5149,5149,33776
 01/01 18:00,(-30.31;-24.76)=,(-15.83;-24.76)=,(-1.35;-24.76)=,(13.13;-24.76)=,(27.61;-24.76)=
(-30.31;-24.76)=,2741,2741,2741,2741,2741
(-30.31;-12.08)=,2741,19996,19824,19913,2741
(-30.31;0.60)=,2741,19982,19699,19856,2741
(-30.31;13.28)=,2741,20034,19784,19881,2741
(-30.31;25.96)=,2741,2741,2741,2741,17624
 01/01 19:00,(-30.31;-24.76)=,(-15.83;-24.76)=,(-1.35;-24.76)=,(13.13;-24.76)=,(27.61;-24.76)=
(-30.31;-24.76)=,657,657,657,657,657
(-30.31;-12.08)=,657,4941,4938,4973,657
(-30.31;0.60)=,657,4945,4917,4964,657
(-30.31;13.28)=,657,4972,4949,4982,657
(-30.31;25.96)=,657,657,657,657,4441
 01/01 20:00,(-30.31;-24.76)=,(-15.83;-24.76)=,(-1.35;-24.76)=,(13.13;-24.76)=,(27.61;-24.76)=
(-30.31;-24.76)=,0,0,0,0,0
(-30.31;-12.08)=,0,0,0,0,0
(-30.31;0.60)=,0,0,0,0,0
(-30.31;13.28)=,0,0,0,0,0
(-30.31;25.96)=,0,0,0,0,0
Date/Time,MAIN ZONE:RUN PERIOD 1:FLOOR ILLUMINANCE MAP at 0.30m Illuminance [lux] (Hourly), RefPt1=(-1.68:0.89:0.30),,
 01/02 08:00,(-30.31;-24.76)=,(-15.83;-24.76)=,(-1.35;-24.76)=,(13.13;-24.76)=,(27.61;-24.76)=
(-30.31;-24.76)=,428,428,428,428,428
(-30.31;-12.08)=,428,3177,3231,3273,428
(-30.31;0.60)=,428,3201,3221,3271,428
(-30.31;13.28)=,428,3227,3241,3282,428
(-30.31;25.96)=,428,428,428,428,2991
 01/02 09:00,(-30.31;-24.76)=,(-15.83;-24.76)=,(-1.35;-24.76)=,(13.13;-24.76)=,(27.61;-24.76)=
(-30.31;-24.76)=,2479,2479,2479,2479,2479
(-30.31;-12.08)=,2479,17980,18294,18856,2479
(-30.31;0.60)=,2479,18001,18232,18838,2479
(-30.31;13.28)=,2479,18244,18321,18876,2479
(-30.31;25.96)=,2479,2479,2479,2479,17195
 01/02 10:00,(-30.31;-24.76)=,(-15.83;-24.76)=,(-1.35;-24.76)=,(13.13;-24.76)=,(27.61;-24.76)=
(-30.31;-24.76)=,4834,4834,4834,4834,4834
(-30.31;-12.08)=,4834,35766,36188,37330,4834
(-30.31;0.60)=,4834,35665,36074,37258,4834
(-30.31;13.28)=,4834,36057,36199,37154,4834
(-30.31;25.96)=,4834,4834,4834,4834,33466
 01/02 11:00,(-30.31;-24.76)=,(-15.83;-24.76)=,(-1.35;-24.76)=,(13.13;-24.76)=,(27.61;-24.76)=
(-30.31;-24.76)=,6812,6812,6812,6812,6812
(-30.31;-12.08)=,6812,52091,52608,53428,6812
(-30.31;0.60)=,6812,52076,52432,53297,6812
(-30.31;13.28)=,6812,52383,52611,53269,6812
(-30.31;25.96)=,6812,6812,6812,6812,46953
 01/02 12:00,(-30.31;-24.76)=,(-15.83;-24.76)=,(-1.35;-24.76)=,(13.13;-24.76)=,(27.61;-24.76)=
(-30.31;-24.76)=,8141,8141,8141,8141,8141
(-30.31;-12.08)=,8141,64092,64510,65070,8141
(-30.31;0.60)=,8141,63989,64267,64894,8141
(-30.31;13.28)=,8141,64300,64485,65063,8141
(-30.31;25.96)=,8141,8141,8141,8141,55858
 01/02 13:00,(-30.31;-24.76)=,(-15.83;-24.76)=,(-1.35;-24.76)=,(13.13;-24.76)=,(27.61;-24.76)=
(-30.31;-24.76)=,8878,8878,8878,8878,8878
(-30.31;-12.08)=,8878,71382,71634,72021,8878
(-30.31;0.60)=,8878,71235,71332,71797,8878
(-30.31;13.28)=,8878,71473,71366,72072,8878
(-30.31;25.96)=,8878,8878,8878,8878,59798
 01/02 14:00,(-30.31;-24.76)=,(-15.83;-24.76)=,(-1.35;-24.76)=,(13.13;-24.76)=,(27.61;-24.76)=
(-30.31;-24.76)=,8862,8862,8862,8862,8862
(-30.31;-12.08)=,8862,71543,71586,71916,8862
(-30.31;0.60)=,8862,71412,71365,71689,8862
(-30.31;13.28)=,8862,71508,71280,71955,8862
(-30.31;25.96)=,8862,8862,8862,8862,57063
 01/02 15:00,(-30.31;-24.76)=,(-15.83;-24.76)=,(-1.35;-24.76)=,(13.13;-24.76)=,(27.61;-24.76)=
(-30.31;-24.76)=,8405,8405,8405,8405,8405
(-30.31;-12.08)=,8405,66155,66096,66430,8405
(-30.31;0.60)=,8405,66068,65876,66196,8405
(-30.31;13.28)=,8405,66124,65897,66397,8405
(-30.31;25.96)=,8405,8405,8405,8405,55707
 01/02 16:00,(-30.31;-24.76)=,(-15.83;-24.76)=,(-1.35;-24.76)=,(13.13;-24.76)=,(27.61;-24.76)=
(-30.31;-24.76)=,7152,7152,7152,7152,7152
(-30.31;-12.08)=,7152,54650,54601,54852,7152
(-30.31;0.60)=,7152,54613,54346,54669,7152
(-30.31;13.28)=,7152,54734,54491,54793,7152
(-30.31;25.96)=,7152,7152,7152,7152,48094
 01/02 17:00,(-30.31;-24.76)=,(-15.83;-24.76)=,(-1.35;-24.76)=,(13.13;-24.76)=,(27.61;-24.76)=
(-30.31;-24.76)=,5175,5175,5175,5175,5175
(-30.31;-12.08)=,5175,38489,38443,38590,5175
(-30.31;0.60)=,5175,38463,38233,38469,5175
(-30.31;13.28)=,5175,38587,38377,38555,5175
(-30.31;25.96)=,5175,5175,5175,5175,34139
 01/02 18:00,(-30.31;-24.76)=,(-15.83;-24.76)=,(-1.35;-24.76)=,(13.13;-24.76)=,(27.61;-24.76)=
(-30.31;-24.76)=,2763,2763,2763,2763,2763
(-30.31;-12.08)=,2763,20188,20019,20112,2763
(-30.31;0.60)=,2763,20175,19894,20054,2763
(-30.31;13.28)=,2763,20229,19982,20082,2763
(-30.31;25.96)=,2763,2763,2763,2763,17805
 01/02 19:00,(-30.31;-24.76)=,(-15.83;-24.76)=,(-1.35;-24.76)=,(13.13;-24.76)=,(27.61;-24.76)=
(-30.31;-24.76)=,669,669,669,669,669
(-30.31;-12.08)=,669,5034,5030,5066,669
(-30.31;0.60)=,669,5038,5009,5057,669
(-30.31;13.28)=,669,5066,5042,5076,669
(-30.31;25.96)=,669,669,669,669,4524
 01/02 20:00,(-30.31;-24.76)=,(-15.83;-24.76)=,(-1.35;-24.76)=,(13.13;-24.76)=,(27.61;-24.76)=
(-30.31;-24.76)=,0,0,0,0,0
(-30.31;-12.08)=,0,0,0,0,0
(-30.31;0.60)=,0,0,0,0,0
(-30.31;13.28)=,0,0,0,0,0
(-30.31;25.96)=,0,0,0,0,0
Date/Time,MAIN ZONE:RUN PERIOD 1:FLOOR ILLUMINANCE MAP at 0.30m Illuminance [lux] (Hourly), RefPt1=(-1.68:0.89:0.30),,
 01/03 08:00,(-30.31;-24.76)=,(-15.83;-24.76)=,(-1.35;-24.76)=,(13.13;-24.76)=,(27.61;-24.76)=
(-30.31;-24.76)=,445,445,445,445,445
(-30.31;-12.08)=,445,3227,3306,3355,445
(-30.31;0.60)=,445,3265,3295,3352,445
(-30.31;13.28)=,445,3293,3313,3361,445
(-30.31;25.96)=,445,445,445,445,3073
 01/03 09:00,(-30.31;-24.76)=,(-15.83;-24.76)=,(-1.35;-24.76)=,(13.13;-24.76)=,(27.61;-24.76)=
(-30.31;-24.76)=,2890,2890,2890,2890,2890
(-30.31;-12.08)=,2890,20398,20838,21714,2890
(-30.31;0.60)=,2890,20412,20770,21702,2890
(-30.31;13.28)=,2890,20753,20848,21725,2890
(-30.31;25.96)=,2890,2890,2890,2890,19577
 01/03 10:00,(-30.31;-24.76)=,(-15.83;-24.76)=,(-1.35;-24.76)=,(13.13;-24.76)=,(27.61;-24.76)=
(-30.31;-24.76)=,5950,5950,5950,5950,5950
(-30.31;-12.08)=,5950,43153,43675,45741,5950
(-30.31;0.60)=,5950,43012,43588,45655,5950
(-30.31;13.28)=,5950,43559,43656,45232,5950
(-30.31;25.96)=,5950,5950,5950,5950,40632
 01/03 11:00,(-30.31;-24.76)=,(-15.83;-24.76)=,(-1.35;-24.76)=,(13.13;-24.76)=,(27.61;-24.76)=
(-30.31;-24.76)=,8803,8803,8803,8803,8803
(-30.31;-12.08)=,8803,67541,68180,69403,8803
(-30.31;0.60)=,8803,67797,68088,69255,8803
(-30.31;13.28)=,8803,68002,68216,68765,8803
(-30.31;25.96)=,8803,8803,8803,8803,62047
 01/03 12:00,(-30.31;-24.76)=,(-15.83;-24.76)=,(-1.35;-24.76)=,(13.13;-24.76)=,(27.61;-24.76)=
(-30.31;-24.76)=,10654,10654,10654,10654,10654
(-30.31;-12.08)=,10654,86078,86479,86872,10654
(-30.31;0.60)=,10654,86116,86337,86774,10654
(-30.31;13.28)=,10654,86356,86566,86855,10654
(-30.31;25.96)=,10654,10654,10654,10654,77342
 01/03 13:00,(-30.31;-24.76)=,(-15.83;-24.76)=,(-1.35;-24.76)=,(13.13;-24.76)=,(27.61;-24.76)=
(-30.31;-24.76)=,11712,11712,11712,11712,11712
(-30.31;-12.08)=,11712,97927,98125,98367,11712
(-30.31;0.60)=,11712,97842,97950,98262,11712
(-30.31;13.28)=,11712,98060,97980,98410,11712
(-30.31;25.96)=,11712,11712,11712,11712,80595
 01/03 14:00,(-30.31;-24.76)=,(-15.83;-24.76)=,(-1.35;-24.76)=,(13.13;-24.76)=,(27.61;-24.76)=
(-30.31;-24.76)=,11920,11920,11920,11920,11920
(-30.31;-12.08)=,11920,100148,100177,100397,11920
(-30.31;0.60)=,11920,100044,100064,100282,11920
(-30.31;13.28)=,11920,100145,100000,100432,11920
(-30.31;25.96)=,11920,11920,11920,11920,70955
